id,protocol,use_tls,temperature,humidity,current,client_timestamp,server_timestamp,latency_ms,payload_size_bytes,created_at
169,mqtt,f,29.3,50.89,3.48,1772146042.8365467,1772146042.8390636,2.5169849395751953,90,2026-02-26 22:47:22.839151
170,mqtt,f,20.37,48.33,2.93,1772146042.8896968,1772146042.8922403,2.5434494018554688,91,2026-02-26 22:47:22.892336
171,mqtt,f,21.42,54.09,4.11,1772146042.9429908,1772146042.9455712,2.580404281616211,91,2026-02-26 22:47:22.94566
172,mqtt,f,24.68,55.23,1.63,1772146042.9961617,1772146042.999105,2.943277359008789,91,2026-02-26 22:47:22.999215
173,mqtt,f,23.27,44.02,2.76,1772146043.0499394,1772146043.0531478,3.2083988189697266,91,2026-02-26 22:47:23.053278
174,mqtt,f,24.64,56.51,2.63,1772146043.1039042,1772146043.1063123,2.4080276489257812,91,2026-02-26 22:47:23.106411
175,mqtt,f,23.34,46.67,2.42,1772146043.1570323,1772146043.159365,2.3326873779296875,91,2026-02-26 22:47:23.159495
176,mqtt,f,20.42,45.37,3.23,1772146043.2101054,1772146043.213587,3.481626510620117,91,2026-02-26 22:47:23.213756
177,mqtt,f,20.03,40.22,1.41,1772146043.264326,1772146043.2683227,3.996610641479492,90,2026-02-26 22:47:23.268463
178,mqtt,f,23.96,40.46,4.89,1772146043.3193457,1772146043.3219724,2.626657485961914,91,2026-02-26 22:47:23.322106
179,mqtt,f,27.45,53.33,2.97,1772146043.3727703,1772146043.3754518,2.6814937591552734,91,2026-02-26 22:47:23.375597
180,mqtt,f,29.6,56.14,4.39,1772146043.4264596,1772146043.4288373,2.377748489379883,90,2026-02-26 22:47:23.42894
181,mqtt,f,25.17,43.52,4.85,1772146043.4796405,1772146043.4827244,3.083944320678711,91,2026-02-26 22:47:23.482825
182,mqtt,f,26.47,54.27,4.59,1772146043.5336637,1772146043.5362854,2.6216506958007812,91,2026-02-26 22:47:23.536377
183,mqtt,f,27.48,43.76,4.3,1772146043.587196,1772146043.589608,2.4118423461914062,89,2026-02-26 22:47:23.589763
184,mqtt,f,28.25,43.17,2.27,1772146043.640491,1772146043.6435378,3.046751022338867,90,2026-02-26 22:47:23.643634
185,mqtt,f,23.46,43.24,1.16,1772146043.694565,1772146043.6968615,2.29644775390625,90,2026-02-26 22:47:23.696946
186,mqtt,f,21.18,42.48,2.47,1772146043.7476501,1772146043.750063,2.4127960205078125,91,2026-02-26 22:47:23.750147
187,mqtt,f,20.42,50.43,2.16,1772146043.8007917,1772146043.8039467,3.1549930572509766,91,2026-02-26 22:47:23.804071
188,mqtt,f,23.66,56.64,4.16,1772146043.854847,1772146043.857187,2.340078353881836,90,2026-02-26 22:47:23.857352
189,mqtt,f,23.73,55.13,2.4,1772146043.9079032,1772146043.9119391,4.03594970703125,90,2026-02-26 22:47:23.912048
190,mqtt,f,29.58,41.95,2.91,1772146043.9627616,1772146043.9658651,3.103494644165039,91,2026-02-26 22:47:23.966028
191,mqtt,f,23.96,40.24,2.64,1772146044.0165083,1772146044.019232,2.72369384765625,91,2026-02-26 22:47:24.019366
192,mqtt,f,20.43,57.84,3.18,1772146044.069974,1772146044.0731936,3.2196044921875,90,2026-02-26 22:47:24.073371
193,mqtt,f,24.71,51.49,4.62,1772146044.1239274,1772146044.1267676,2.840280532836914,91,2026-02-26 22:47:24.126861
194,mqtt,f,24.75,42.08,3.67,1772146044.1773925,1772146044.180272,2.879619598388672,91,2026-02-26 22:47:24.18036
195,mqtt,f,29.37,52.37,4.78,1772146044.231179,1772146044.2338674,2.6884078979492188,90,2026-02-26 22:47:24.233971
196,mqtt,f,20.6,52.03,4.71,1772146044.2845764,1772146044.2873173,2.7408599853515625,90,2026-02-26 22:47:24.287423
197,mqtt,f,24.94,44.21,3.11,1772146044.3380387,1772146044.3406622,2.6235580444335938,91,2026-02-26 22:47:24.340753
198,mqtt,f,21.84,44.93,3.59,1772146044.391305,1772146044.3941557,2.850770950317383,90,2026-02-26 22:47:24.394245
199,mqtt,f,27.45,45.2,4.93,1772146044.4449232,1772146044.4474483,2.5250911712646484,90,2026-02-26 22:47:24.447544
200,mqtt,f,28.99,50.67,4.76,1772146044.4982016,1772146044.5021095,3.907918930053711,91,2026-02-26 22:47:24.502259
201,mqtt,f,22.95,52.11,4.39,1772146044.5532856,1772146044.5575404,4.254817962646484,91,2026-02-26 22:47:24.557664
202,mqtt,f,26.16,55.7,2.37,1772146044.6086357,1772146044.6125934,3.9577484130859375,90,2026-02-26 22:47:24.61272
203,mqtt,f,26.09,40.29,1.51,1772146044.663498,1772146044.6658306,2.3326873779296875,90,2026-02-26 22:47:24.665939
204,mqtt,f,29.69,59.06,1.21,1772146044.7166934,1772146044.7195604,2.866983413696289,91,2026-02-26 22:47:24.719691
205,mqtt,f,24.38,53.81,2.67,1772146044.7703102,1772146044.7730043,2.6941299438476562,91,2026-02-26 22:47:24.773119
206,mqtt,f,22.56,56.9,3.13,1772146044.8236988,1772146044.8270206,3.3218860626220703,90,2026-02-26 22:47:24.827196
207,mqtt,f,27.89,40.66,1.33,1772146044.877624,1772146044.8804607,2.8367042541503906,90,2026-02-26 22:47:24.880567
208,mqtt,f,29.64,45.26,4.35,1772146044.9312515,1772146044.9344277,3.1762123107910156,91,2026-02-26 22:47:24.934594
209,mqtt,f,22.23,53.37,2.89,1772146044.98542,1772146044.9881487,2.728700637817383,89,2026-02-26 22:47:24.988273
